Method,Silhouette Score,Calinski-Harabasz,Davies-Bouldin,Adjusted Rand Index (ARI),Normalized Mutual Info (NMI),Cluster Purity
K-Means,0.7243698239326477,7857.046678552797,0.4556205056378776,0.013025534686187466,0.007782542828571832,0.4793296089385475
Agglomerative,0.6908180713653564,6178.964336595217,0.49999774595676244,0.012037866418960628,0.00642882980799584,0.4793296089385475
