Method,Silhouette Score,Calinski-Harabasz,Davies-Bouldin,Adjusted Rand Index (ARI),Normalized Mutual Info (NMI),Cluster Purity
VAE + K-Means (Train),0.5072535276412964,2405.2692284868367,0.5628705517943426,0.01138452751916779,0.023104122997194183,0.4793296089385475
PCA + K-Means (Train),0.10466981679201126,136.64797337482855,2.2130626685054344,-0.0003467801174877652,0.004677723532950474,0.4793296089385475
VAE + K-Means (Test),0.5552317500114441,595.7884380800126,0.5662475527091692,0.012032868450892985,0.04841155039022956,0.49107142857142855
PCA + K-Means (Test),0.11969400197267532,37.517523112781475,1.9676378897543754,0.013665392566776288,0.0393851839182636,0.48214285714285715
